"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	182	619079	29.4
	"Alabama"	"01"	"1999"	"1999"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	138	594216	23.2
	"Alabama"	"01"	"1999"	"1999"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	162	678335	23.9
	"Alabama"	"01"	"1999"	"1999"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	102	580915	17.6
	"Alabama"	"01"	"1999"	"1999"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	79	408196	19.4
	"Alabama"	"01"	"1999"	"1999"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	59	314517	18.8
	"Alabama"	"01"	"1999"	"1999"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	46	194101	23.7
	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	11	65791	Unreliable
	"Alabama"	"01"	"2000"	"2000"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	144	614582	23.4
	"Alabama"	"01"	"2000"	"2000"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	154	586909	26.2
	"Alabama"	"01"	"2000"	"2000"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	158	675480	23.4
	"Alabama"	"01"	"2000"	"2000"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	108	594636	18.2
	"Alabama"	"01"	"2000"	"2000"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	71	412587	17.2
	"Alabama"	"01"	"2000"	"2000"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	57	314953	18.1
	"Alabama"	"01"	"2000"	"2000"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	44	194796	22.6
	"Alabama"	"01"	"2000"	"2000"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	15	66961	Unreliable
	"Alabama"	"01"	"2001"	"2001"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	139	622456	22.3
	"Alabama"	"01"	"2001"	"2001"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	166	569983	29.1
	"Alabama"	"01"	"2001"	"2001"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	137	666673	20.5
	"Alabama"	"01"	"2001"	"2001"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	108	617098	17.5
	"Alabama"	"01"	"2001"	"2001"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	69	421816	16.4
	"Alabama"	"01"	"2001"	"2001"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	56	316345	17.7
	"Alabama"	"01"	"2001"	"2001"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	35	197635	17.7
	"Alabama"	"01"	"2001"	"2001"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	12	66604	Unreliable
	"Alabama"	"01"	"2002"	"2002"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	143	624196	22.9
	"Alabama"	"01"	"2002"	"2002"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	138	562481	24.5
	"Alabama"	"01"	"2002"	"2002"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	141	653667	21.6
	"Alabama"	"01"	"2002"	"2002"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	106	622914	17.0
	"Alabama"	"01"	"2002"	"2002"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	63	444021	14.2
	"Alabama"	"01"	"2002"	"2002"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	60	316467	19.0
	"Alabama"	"01"	"2002"	"2002"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	41	199690	20.5
	"Alabama"	"01"	"2002"	"2002"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	10	66078	Unreliable
	"Alabama"	"01"	"2003"	"2003"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	159	628037	25.3
	"Alabama"	"01"	"2003"	"2003"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	139	559387	24.8
	"Alabama"	"01"	"2003"	"2003"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	133	641679	20.7
	"Alabama"	"01"	"2003"	"2003"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	134	631762	21.2
	"Alabama"	"01"	"2003"	"2003"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	75	461858	16.2
	"Alabama"	"01"	"2003"	"2003"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	54	318893	16.9
