State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Race,Race Code,Year,Year Code,Deaths,Population,Crude Rate
Alabama,1,15-24 years,15-24,Firearm,GRINJ-006,Black or African American,2054-5,1999,1999,102,203006,50.2
Alabama,1,15-24 years,15-24,Firearm,GRINJ-006,Black or African American,2054-5,2000,2000,95,201569,47.1
Alabama,1,15-24 years,15-24,Firearm,GRINJ-006,Black or African American,2054-5,2001,2001,81,204821,39.5
Alabama,1,15-24 years,15-24,Firearm,GRINJ-006,Black or African American,2054-5,2002,2002,86,205686,41.8
Alabama,1,15-24 years,15-24,Firearm,GRINJ-006,Black or African American,2054-5,2003,2003,87,207689,41.9
Alabama,1,15-24 years,15-24,Firearm,GRINJ-006,Black or African American,2054-5,2004,2004,67,208949,32.1
Alabama,1,15-24 years,15-24,Firearm,GRINJ-006,Black or African American,2054-5,2005,2005,94,211246,44.5
Alabama,1,15-24 years,15-24,Firearm,GRINJ-006,Black or African American,2054-5,2006,2006,115,214679,53.6
Alabama,1,15-24 years,15-24,Firearm,GRINJ-006,Black or African American,2054-5,2007,2007,110,216270,50.9
Alabama,1,15-24 years,15-24,Firearm,GRINJ-006,Black or African American,2054-5,2008,2008,103,218147,47.2
Alabama,1,15-24 years,15-24,Firearm,GRINJ-006,Black or African American,2054-5,2009,2009,79,218766,36.1
Alabama,1,15-24 years,15-24,Firearm,GRINJ-006,Black or African American,2054-5,2010,2010,84,217633,38.6
Alabama,1,15-24 years,15-24,Firearm,GRINJ-006,Black or African American,2054-5,2011,2011,89,220933,40.3
Alabama,1,15-24 years,15-24,Firearm,GRINJ-006,Black or African American,2054-5,2012,2012,93,218956,42.5
Alabama,1,15-24 years,15-24,Firearm,GRINJ-006,Black or African American,2054-5,2013,2013,89,219434,40.6
Alabama,1,15-24 years,15-24,Firearm,GRINJ-006,Black or African American,2054-5,2014,2014,83,218463,38
Alabama,1,15-24 years,15-24,Firearm,GRINJ-006,Black or African American,2054-5,2015,2015,96,216684,44.3
Alabama,1,15-24 years,15-24,Firearm,GRINJ-006,Black or African American,2054-5,2016,2016,137,213048,64.3
