state,year,type_variable,Statistics
AK,1976,Unemployment Rate,7.517
AL,1976,Unemployment Rate,6.767
AR,1976,Unemployment Rate,6.975
AZ,1976,Unemployment Rate,9.683
CA,1976,Unemployment Rate,9.108
CO,1976,Unemployment Rate,5.808
CT,1976,Unemployment Rate,9.275
DC,1976,Unemployment Rate,8.95
DE,1976,Unemployment Rate,8.817
DS,1976,Unemployment Rate,6.297
FL,1976,Unemployment Rate,9.108
GA,1976,Unemployment Rate,8.158
HI,1976,Unemployment Rate,9.392
IA,1976,Unemployment Rate,3.983
ID,1976,Unemployment Rate,5.575
IL,1976,Unemployment Rate,6.575
IN,1976,Unemployment Rate,6.017
KS,1976,Unemployment Rate,4.208
KY,1976,Unemployment Rate,5.383
LA,1976,Unemployment Rate,6.717
MA,1976,Unemployment Rate,9.567
MD,1976,Unemployment Rate,6.65
ME,1976,Unemployment Rate,8.675
MI,1976,Unemployment Rate,9.4
MN,1976,Unemployment Rate,5.808
MO,1976,Unemployment Rate,6.233
MS,1976,Unemployment Rate,6.508
MT,1976,Unemployment Rate,5.942
NC,1976,Unemployment Rate,6.217
ND,1976,Unemployment Rate,3.692
NE,1976,Unemployment Rate,3.192
NH,1976,Unemployment Rate,6.508
NJ,1976,Unemployment Rate,10.425
NM,1976,Unemployment Rate,8.892
NV,1976,Unemployment Rate,8.767
NY,1976,Unemployment Rate,10.208
OH,1976,Unemployment Rate,7.767
OK,1976,Unemployment Rate,5.683
OR,1976,Unemployment Rate,9.308
PA,1976,Unemployment Rate,7.975
RI,1976,Unemployment Rate,8.208
SC,1976,Unemployment Rate,7.175
SD,1976,Unemployment Rate,3.217
TN,1976,Unemployment Rate,6.05
TX,1976,Unemployment Rate,5.783
UT,1976,Unemployment Rate,5.567
VA,1976,Unemployment Rate,5.825
VT,1976,Unemployment Rate,8.325
WA,1976,Unemployment Rate,8.875
WI,1976,Unemployment Rate,5.517
WV,1976,Unemployment Rate,7.325
WY,1976,Unemployment Rate,3.967
AK,1977,Unemployment Rate,9.867
AL,1977,Unemployment Rate,7.317
AR,1977,Unemployment Rate,6.45
AZ,1977,Unemployment Rate,8.217
CA,1977,Unemployment Rate,8.333
CO,1977,Unemployment Rate,6.367
CT,1977,Unemployment Rate,6.992
DC,1977,Unemployment Rate,9.183
DE,1977,Unemployment Rate,8.458
DS,1977,Unemployment Rate,6.066
FL,1977,Unemployment Rate,8.175
GA,1977,Unemployment Rate,6.908
HI,1977,Unemployment Rate,7.825
IA,1977,Unemployment Rate,3.883
ID,1977,Unemployment Rate,5.767
IL,1977,Unemployment Rate,6.233
IN,1977,Unemployment Rate,5.783
KS,1977,Unemployment Rate,3.917
KY,1977,Unemployment Rate,4.867
LA,1977,Unemployment Rate,7.067
MA,1977,Unemployment Rate,7.775
MD,1977,Unemployment Rate,6.25
ME,1977,Unemployment Rate,8.242
MI,1977,Unemployment Rate,8.217
MN,1977,Unemployment Rate,5.258
MO,1977,Unemployment Rate,6.05
MS,1977,Unemployment Rate,7.317
MT,1977,Unemployment Rate,6.3
NC,1977,Unemployment Rate,5.917
ND,1977,Unemployment Rate,4.533
NE,1977,Unemployment Rate,3.458
NH,1977,Unemployment Rate,5.433
NJ,1977,Unemployment Rate,9.358
NM,1977,Unemployment Rate,7.608
NV,1977,Unemployment Rate,6.725
NY,1977,Unemployment Rate,9.125
OH,1977,Unemployment Rate,6.517
OK,1977,Unemployment Rate,4.95
OR,1977,Unemployment Rate,7.433
PA,1977,Unemployment Rate,7.667
RI,1977,Unemployment Rate,8.025
SC,1977,Unemployment Rate,6.842
SD,1977,Unemployment Rate,3.292
TN,1977,Unemployment Rate,6.233
TX,1977,Unemployment Rate,5.325
UT,1977,Unemployment Rate,5.125
VA,1977,Unemployment Rate,5.475
VT,1977,Unemployment Rate,6.983
WA,1977,Unemployment Rate,8.467
WI,1977,Unemployment Rate,5.117
WV,1977,Unemployment Rate,6.883
WY,1977,Unemployment Rate,3.383
AK,1978,Unemployment Rate,10.617
AL,1978,Unemployment Rate,6.317
AR,1978,Unemployment Rate,6.192
AZ,1978,Unemployment Rate,6.033
CA,1978,Unemployment Rate,7.158
CO,1978,Unemployment Rate,5.517
CT,1978,Unemployment Rate,5.225
DC,1978,Unemployment Rate,8.275
DE,1978,Unemployment Rate,7.408
DS,1978,Unemployment Rate,5.762
FL,1978,Unemployment Rate,6.708
GA,1978,Unemployment Rate,5.733
HI,1978,Unemployment Rate,7.108
IA,1978,Unemployment Rate,3.85
ID,1978,Unemployment Rate,5.458
IL,1978,Unemployment Rate,5.958
IN,1978,Unemployment Rate,5.583
KS,1978,Unemployment Rate,3.117
KY,1978,Unemployment Rate,5.108
LA,1978,Unemployment Rate,6.792
MA,1978,Unemployment Rate,6.217
MD,1978,Unemployment Rate,5.525
ME,1978,Unemployment Rate,6.417
MI,1978,Unemployment Rate,6.958
MN,1978,Unemployment Rate,3.867
MO,1978,Unemployment Rate,4.883
MS,1978,Unemployment Rate,6.925
MT,1978,Unemployment Rate,5.733
NC,1978,Unemployment Rate,4.475
ND,1978,Unemployment Rate,4.233
NE,1978,Unemployment Rate,3.117
NH,1978,Unemployment Rate,3.817
NJ,1978,Unemployment Rate,7.267
NM,1978,Unemployment Rate,5.942
NV,1978,Unemployment Rate,4.467
NY,1978,Unemployment Rate,7.758
OH,1978,Unemployment Rate,5.467
OK,1978,Unemployment Rate,3.575
OR,1978,Unemployment Rate,6.075
PA,1978,Unemployment Rate,6.925
RI,1978,Unemployment Rate,6.567
SC,1978,Unemployment Rate,5.742
SD,1978,Unemployment Rate,3.1
TN,1978,Unemployment Rate,5.825
TX,1978,Unemployment Rate,4.775
UT,1978,Unemployment Rate,3.792
VA,1978,Unemployment Rate,5.292
VT,1978,Unemployment Rate,5.6
WA,1978,Unemployment Rate,6.833
WI,1978,Unemployment Rate,4.967
WV,1978,Unemployment Rate,6.175
WY,1978,Unemployment Rate,3.008
AK,1979,Unemployment Rate,9.275
AL,1979,Unemployment Rate,7.175
AR,1979,Unemployment Rate,6.208
AZ,1979,Unemployment Rate,5.092
CA,1979,Unemployment Rate,6.242
CO,1979,Unemployment Rate,4.742
CT,1979,Unemployment Rate,5.15
DC,1979,Unemployment Rate,7.025
DE,1979,Unemployment Rate,7.2
DS,1979,Unemployment Rate,5.668
FL,1979,Unemployment Rate,5.95
GA,1979,Unemployment Rate,5.125
