state,state_code,year,death_cause,deaths,population,crude_rate,state_abb,law_strength,grade_2017
Alabama,1,1999,Firearm,790,4430141,17.8,AL,36,F
Alabama,1,2e3,Firearm,766,4447100,17.2,AL,36,F
Alabama,1,2001,Firearm,737,4467634,16.5,AL,36,F
Alabama,1,2002,Firearm,724,4480089,16.2,AL,36,F
Alabama,1,2003,Firearm,765,4503491,17,AL,36,F
Alabama,1,2004,Firearm,679,4530729,15,AL,36,F
Alabama,1,2005,Firearm,736,4569805,16.1,AL,36,F
Alabama,1,2006,Firearm,780,4628981,16.9,AL,36,F
Alabama,1,2007,Firearm,812,4672840,17.4,AL,36,F
Alabama,1,2008,Firearm,820,4718206,17.4,AL,36,F
Alabama,1,2009,Firearm,830,4757938,17.4,AL,36,F
Alabama,1,2010,Firearm,782,4779736,16.4,AL,36,F
Alabama,1,2011,Firearm,785,4802740,16.3,AL,36,F
Alabama,1,2012,Firearm,831,4822023,17.2,AL,36,F
Alabama,1,2013,Firearm,860,4833722,17.8,AL,36,F
Alabama,1,2014,Firearm,815,4849377,16.8,AL,36,F
Alabama,1,2015,Firearm,958,4858979,19.7,AL,36,F
Alabama,1,2016,Firearm,1046,4863300,21.5,AL,36,F
Alaska,2,1999,Firearm,88,624779,14.1,AK,44,F
Alaska,2,2e3,Firearm,116,626932,18.5,AK,44,F
Alaska,2,2001,Firearm,95,633714,15,AK,44,F
Alaska,2,2002,Firearm,127,642337,19.8,AK,44,F
Alaska,2,2003,Firearm,120,648414,18.5,AK,44,F
Alaska,2,2004,Firearm,117,659286,17.7,AK,44,F
Alaska,2,2005,Firearm,116,666946,17.4,AK,44,F
Alaska,2,2006,Firearm,111,675302,16.4,AK,44,F
Alaska,2,2007,Firearm,120,680300,17.6,AK,44,F
Alaska,2,2008,Firearm,142,687455,20.7,AK,44,F
Alaska,2,2009,Firearm,104,698895,14.9,AK,44,F
Alaska,2,2010,Firearm,144,710231,20.3,AK,44,F
Alaska,2,2011,Firearm,126,722718,17.4,AK,44,F
Alaska,2,2012,Firearm,132,731449,18,AK,44,F
Alaska,2,2013,Firearm,144,735132,19.6,AK,44,F
Alaska,2,2014,Firearm,145,736732,19.7,AK,44,F
Alaska,2,2015,Firearm,177,738432,24,AK,44,F
Alaska,2,2016,Firearm,177,741894,23.9,AK,44,F
Arizona,4,1999,Firearm,822,5023823,16.4,AZ,47,F
Arizona,4,2e3,Firearm,796,5130632,15.5,AZ,47,F
Arizona,4,2001,Firearm,842,5273477,16,AZ,47,F
Arizona,4,2002,Firearm,968,5396255,17.9,AZ,47,F
Arizona,4,2003,Firearm,849,5510364,15.4,AZ,47,F
Arizona,4,2004,Firearm,897,5652404,15.9,AZ,47,F
Arizona,4,2005,Firearm,934,5839077,16,AZ,47,F
Arizona,4,2006,Firearm,982,6029141,16.3,AZ,47,F
Arizona,4,2007,Firearm,951,6167681,15.4,AZ,47,F
Arizona,4,2008,Firearm,907,6280362,14.4,AZ,47,F
Arizona,4,2009,Firearm,856,6343154,13.5,AZ,47,F
Arizona,4,2010,Firearm,931,6392017,14.6,AZ,47,F
Arizona,4,2011,Firearm,964,6482505,14.9,AZ,47,F
Arizona,4,2012,Firearm,946,6553255,14.4,AZ,47,F
Arizona,4,2013,Firearm,941,6626624,14.2,AZ,47,F
Arizona,4,2014,Firearm,927,6731484,13.8,AZ,47,F
Arizona,4,2015,Firearm,970,6828065,14.2,AZ,47,F
Arizona,4,2016,Firearm,1094,6931071,15.8,AZ,47,F
Arkansas,5,1999,Firearm,388,2651860,14.6,AR,39,F
Arkansas,5,2e3,Firearm,416,2673400,15.6,AR,39,F
Arkansas,5,2001,Firearm,412,2691571,15.3,AR,39,F
Arkansas,5,2002,Firearm,441,2705927,16.3,AR,39,F
Arkansas,5,2003,Firearm,413,2724816,15.2,AR,39,F
Arkansas,5,2004,Firearm,406,2749686,14.8,AR,39,F
Arkansas,5,2005,Firearm,439,2781097,15.8,AR,39,F
Arkansas,5,2006,Firearm,426,2821761,15.1,AR,39,F
Arkansas,5,2007,Firearm,426,2848650,15,AR,39,F
Arkansas,5,2008,Firearm,444,2874554,15.4,AR,39,F
Arkansas,5,2009,Firearm,465,2896843,16.1,AR,39,F
Arkansas,5,2010,Firearm,419,2915918,14.4,AR,39,F
Arkansas,5,2011,Firearm,462,2937979,15.7,AR,39,F
Arkansas,5,2012,Firearm,490,2949131,16.6,AR,39,F
Arkansas,5,2013,Firearm,501,2959373,16.9,AR,39,F
Arkansas,5,2014,Firearm,496,2966369,16.7,AR,39,F
Arkansas,5,2015,Firearm,520,2978204,17.5,AR,39,F
Arkansas,5,2016,Firearm,541,2988248,18.1,AR,39,F
California,6,1999,Firearm,3054,33499204,9.1,CA,1,A
California,6,2e3,Firearm,3108,33871648,9.2,CA,1,A
California,6,2001,Firearm,3200,34479458,9.3,CA,1,A
California,6,2002,Firearm,3410,34871843,9.8,CA,1,A
California,6,2003,Firearm,3468,35253159,9.8,CA,1,A
California,6,2004,Firearm,3316,35574576,9.3,CA,1,A
California,6,2005,Firearm,3453,35827943,9.6,CA,1,A
California,6,2006,Firearm,3363,36021202,9.3,CA,1,A
California,6,2007,Firearm,3268,36250311,9,CA,1,A
California,6,2008,Firearm,3171,36604337,8.7,CA,1,A
California,6,2009,Firearm,3094,36961229,8.4,CA,1,A
California,6,2010,Firearm,2935,37253956,7.9,CA,1,A
California,6,2011,Firearm,3004,37691912,8,CA,1,A
California,6,2012,Firearm,3068,38041430,8.1,CA,1,A
California,6,2013,Firearm,3026,38332521,7.9,CA,1,A
California,6,2014,Firearm,2942,38802500,7.6,CA,1,A
California,6,2015,Firearm,3095,39144818,7.9,CA,1,A
California,6,2016,Firearm,3184,39250017,8.1,CA,1,A
Colorado,8,1999,Firearm,452,4226018,10.7,CO,15,C
Colorado,8,2e3,Firearm,443,4301261,10.3,CO,15,C
Colorado,8,2001,Firearm,510,4425687,11.5,CO,15,C
Colorado,8,2002,Firearm,517,4490406,11.5,CO,15,C
Colorado,8,2003,Firearm,501,4528732,11.1,CO,15,C
Colorado,8,2004,Firearm,553,4575013,12.1,CO,15,C
Colorado,8,2005,Firearm,535,4631888,11.6,CO,15,C
Colorado,8,2006,Firearm,497,4720423,10.5,CO,15,C
Colorado,8,2007,Firearm,505,4803868,10.5,CO,15,C
Colorado,8,2008,Firearm,513,4889730,10.5,CO,15,C
Colorado,8,2009,Firearm,583,4972195,11.7,CO,15,C
Colorado,8,2010,Firearm,555,5029196,11,CO,15,C
Colorado,8,2011,Firearm,573,5116796,11.2,CO,15,C
