year,state,smoking,disability_65,self_rated_health,drinking,leisure_phys_act,overweight,poverty,diabetes,sleep,mental_health
2011,AK,22.9,42.5,15.5,7.4,22,66.3,10.5,7.9,NA,3.2
2011,AL,24.3,42.5,23.2,5.1,32.6,66.7,19,11.8,NA,4.8
2011,AR,27,43.1,24.9,6.1,30.9,64.9,19.5,11.2,NA,5.2
2011,AZ,19.3,33.1,17.4,6.9,24.1,62.3,19,9.5,NA,3.9
2011,CA,13.7,36.8,18.7,6.2,19.1,60.2,16.6,8.9,NA,3.8
2011,CO,18.3,33.9,13.8,6.7,16.5,56.1,13.5,6.7,NA,3.5
2011,CT,17.1,33,14.9,6.6,25.5,59.6,10.9,9.3,NA,3.6
2011,DC,20.8,36.8,13.7,9.6,19.8,52.9,18.7,9.1,NA,3.6
2011,DE,21.7,33.3,14.6,7.4,27,63.8,11.9,9.7,NA,3.4
2011,FL,19.3,34.5,20.6,7.6,26.9,63.3,17,10.4,NA,4.3
2011,GA,21.2,38.2,18.9,6.2,26.7,62.7,19.1,10.2,NA,3.9
2011,GU,30.5,NA,18.3,6.7,33.3,64,NA,9.9,NA,2.9
2011,HI,16.8,34.3,15,7.4,21.3,55.7,12,8.4,NA,2.8
2011,IA,20.4,33.5,13,8.1,25.9,64.8,12.8,8.2,NA,3
2011,ID,17.2,39.8,15.4,6.2,21.4,62.3,16.5,9.4,NA,3.9
2011,IL,20.9,35.2,17.4,8.5,25.1,64.1,15,9.7,NA,4
2011,IN,25.6,37.9,18.9,6,29.2,65.6,16,10.2,NA,4.2
2011,KS,22,36.9,15,5.4,26.8,64.4,13.8,9.5,NA,3.3
2011,KY,29,42.9,22.4,5.7,29.3,66.5,19.1,10.8,NA,4.8
2011,LA,25.7,42.7,23,6.2,33.8,67.6,20.4,11.8,NA,4.4
2011,MA,18.2,34.1,14,7.9,23.5,59.3,11.6,8,NA,3.6
2011,MD,19.1,33.1,14.2,6.2,26.2,64.4,10.1,9.5,NA,3.7
2011,ME,22.8,37.1,15.9,7.8,23,65,14.1,9.6,NA,4.1
2011,MI,23.3,36.7,17.2,7,23.6,65.4,17.5,10,NA,4.2
2011,MN,19.1,32,12,7.9,21.9,62.4,11.9,7.3,NA,3.1
2011,MO,25,37.8,18.2,7.3,28.4,64.8,15.8,10.2,NA,4.1
2011,MS,26,46.2,24,4.7,36,68.9,22.6,12.3,NA,4.4
2011,MT,22.1,37.4,17.2,7.5,24.4,60.3,14.8,8,NA,3.7
2011,NC,21.8,38.1,19.6,5.6,26.7,65.1,17.9,10.9,NA,3.7
2011,ND,21.9,35.3,14.7,6.5,27.1,63.8,12.2,8.2,NA,2.8
2011,NE,20,33.6,14.3,7.5,26.3,64.9,13.1,8.4,NA,3.1
2011,NH,19.4,34.3,13.7,7.9,22.5,61.6,8.8,8.7,NA,4.1
2011,NJ,16.8,33.3,16.2,6,26.4,61.5,10.4,8.8,NA,3.4
2011,NM,21.5,40.3,19.9,5.8,25.3,62.2,21.5,9.9,NA,4
2011,NV,22.9,34.4,20.2,6.8,24.3,60.2,15.9,10.3,NA,3.9
2011,NY,18.1,34,16.9,6.2,26.3,60.3,16,10.4,NA,3.7
2011,OH,25.1,36.3,18,6.6,27,65.9,16.4,10,NA,4.1
2011,OK,26.1,42.2,20.2,5.5,31.2,65.4,17.2,11.1,NA,4.5
2011,OR,19.7,37.5,17.6,7.2,19.8,61.5,17.5,9.3,NA,3.8
2011,PA,22.4,35.6,16.8,6.6,26.2,64.5,13.8,9.5,NA,4.1
2011,PR,14.8,51.7,34.5,5.3,47.3,66.2,45.6,13.5,NA,3.7
2011,RI,20,35.1,17.4,6.7,26.2,62.4,14.7,8.4,NA,4.3
2011,SC,23.1,37.4,19.1,6.6,27.2,65.9,18.9,12.1,NA,4.1
2011,SD,23,35.4,14.6,5.9,27,64.4,13.9,9.5,NA,3
2011,TN,23,40.7,21,3.4,35.1,66.5,18.3,11.2,NA,3.8
2011,TX,19.2,40.4,19,7,27.2,65.8,18.5,10.2,NA,3.6
2011,UT,11.8,34.1,13.4,4.1,18.9,58.9,13.5,6.7,NA,3.6
2011,VA,20.9,34.8,16.8,6.4,25,63.3,11.5,10.4,NA,3.4
2011,VI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,VT,19.1,34.7,12.9,8.3,21,59.8,11.5,7.7,NA,3.7
2011,WA,17.5,37.3,16.1,6.5,22,61,13.9,8.9,NA,3.7
2011,WI,20.9,32.8,14.6,9.8,22.7,64,13.1,8.4,NA,3.2
2011,WV,28.6,43.5,25.1,3.9,35.1,68.9,18.6,12,NA,4.6
2011,WY,23,33.9,15.4,6.6,25.5,61.3,11.3,8.2,NA,3.5
2012,AK,20.5,40.1,14.1,6.6,18.5,64.8,10.1,7,61.7,3.2
2012,AL,23.8,42.7,25,5.2,27.2,67.7,19,12.2,NA,5.2
2012,AR,25,41.4,23.7,4.1,31.5,68.7,19.8,11.3,NA,4.7
2012,AZ,17.1,33.8,18.1,5.1,22.6,62,18.7,10.6,NA,4
2012,CA,12.6,36.6,17.7,5.8,19.2,60.3,17,9.8,NA,3.8
2012,CO,17.7,32.4,14.5,6.5,17,55.7,13.7,7.4,NA,3.5
2012,CT,16,31.7,14.2,6.5,22.1,62.3,10.7,9.1,NA,3.6
2012,DC,19.6,33.6,12.1,8.1,17.4,51.9,18.2,8.2,NA,3.8
2012,DE,19.7,32,16.4,6.8,23.5,66,12,9.6,NA,3.7
2012,FL,17.7,33.3,19.9,7.1,23.3,62.1,17.1,11.4,NA,4.4
2012,GA,20.4,38.2,17.5,5.1,23.6,64.6,19.2,9.9,NA,3.6
2012,GU,25.8,NA,21.8,7.5,27.6,61.5,NA,9.6,NA,2.9
2012,HI,14.6,34.4,14.8,7.4,18.7,56,11.6,7.8,NA,2.9
2012,IA,18.1,32.1,14,6.2,23.1,64.7,12.7,9.7,NA,3
2012,ID,16.4,35.1,15.6,5.7,20.3,62.5,15.9,8.5,NA,3.8
2012,IL,18.6,35,17.4,6.1,21.8,64,14.7,9.4,NA,3.5
2012,IN,24,36.1,20,5.1,25.9,65.5,15.6,10.9,NA,4.3
2012,KS,19.4,35.1,16,5.3,22.9,65.6,14,9.4,64.2,3.2
2012,KY,28.3,42.6,23.9,5.3,29.7,66.9,19.4,10.7,NA,4.9
2012,LA,24.8,42.7,22.5,6.9,29.9,69.6,19.9,12.3,NA,4.1
2012,MA,16.4,33.7,13.4,7.4,19.8,58.8,11.9,8.3,NA,3.8
2012,MD,16.2,32.7,15.8,5.5,23.1,63.8,10.3,10.2,NA,3.5
2012,ME,20.3,35.4,16.1,6.7,20.9,64.2,14.7,9.7,NA,4
2012,MI,23.3,36,17.1,6.1,23.3,65.6,17.4,10.5,NA,4.1
2012,MN,18.8,31.7,11.7,6.3,17.6,63,11.4,7.3,NA,3.1
2012,MO,23.9,37.9,18.7,6.3,24.7,65.7,16.2,10.7,NA,4
2012,MS,24,44.5,23.4,4.6,30.8,68.9,24.2,12.5,NA,4.4
2012,MT,19.7,36.1,15.8,8.5,20.5,61.3,15.5,7.2,NA,3.7
2012,NC,20.9,36.6,19.3,4.9,24.9,65.8,18,10.4,NA,3.9
2012,ND,21.2,32.6,13.4,6.4,23.8,66.2,11.2,8.6,NA,2.8
2012,NE,19.7,33.8,14.4,7.2,21,65,13,8.1,NA,3
2012,NH,17.2,31.4,13.5,7.3,20,62.1,10,9.1,NA,3.8
2012,NJ,17.3,32.7,16.1,5.3,24.9,61.6,10.8,9.3,NA,3.3
2012,NM,19.3,41.4,21.1,5.5,21.8,62.8,20.8,10.3,NA,4
2012,NV,18.1,35.8,19,6.5,21.3,62.5,16.4,8.9,61.3,4.1
2012,NY,16.2,33.8,17.5,5,24.7,60.6,15.9,9.7,NA,4.1
2012,OH,23.3,35.3,18.3,6.3,25.3,65.3,16.3,11.7,NA,4.1
2012,OK,23.3,40.8,19,4.6,28.3,67.8,17.2,11.5,NA,4.2
2012,OR,17.9,37.5,18.2,7.3,16.3,61.2,17.2,9.9,65.4,4.4
2012,PA,21.4,34.6,16.9,5.7,23.5,64.9,13.7,10.2,NA,3.8
2012,PR,12.6,51.2,36.1,4.9,42.4,66.1,44.9,16.4,63.6,3.5
2012,RI,17.4,33.4,16.3,6.2,23.6,62.9,13.7,9.8,NA,4.1
2012,SC,22.5,37.1,18.9,5.9,25.1,66.1,18.3,11.6,NA,4.2
2012,SD,22,34.9,13.1,5.9,22.5,66.1,13.4,7.8,NA,2.9
2012,TN,24.9,39.8,21.1,3.6,28.6,65.4,17.9,11.9,NA,4
2012,TX,18.2,39.1,19.2,6.1,27.2,65.1,17.9,10.6,NA,3.6
2012,UT,10.6,34.6,13.1,3.5,16.5,57.8,12.8,7.2,NA,3.4
2012,VA,19,33.6,17.5,5.4,22.5,63.6,11.7,10.6,NA,3.5
2012,VI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,VT,16.5,31.4,12.1,7.5,17.2,60.3,11.8,7.3,NA,3.8
2012,WA,17.2,35.2,16.2,6.4,19,62.2,13.5,8.8,NA,3.9
2012,WI,20.4,32.1,14,8.5,20.4,66.4,13.2,8.3,NA,3.7
2012,WV,28.2,43.4,25.2,3.5,31,68.3,17.8,13,NA,4.5
2012,WY,21.8,36.6,14.9,6,21.1,63.3,12.6,9.1,NA,3.4
2013,AK,22.6,39.7,15,8.2,22.3,66.1,9.3,7.1,63.1,3.1
2013,AL,21.5,41.4,22.8,4.3,31.5,68.2,18.7,13.8,60.5,4.4
2013,AR,25.9,42.4,24.1,5,34.4,69.9,19.7,11.5,62,4.4
2013,AZ,16.3,34.6,16.7,6.3,25.2,61.8,18.6,10.7,64,3.9
2013,CA,12.5,36.9,18.9,6.4,21.4,60.1,16.8,10.2,64.1,3.8
2013,CO,17.7,34.3,13.1,6.7,17.9,56.4,13,6.5,69.1,3.3
2013,CT,15.5,32.1,13.2,6.3,24.9,62.5,10.7,8.3,63.1,3.5
2013,DC,18.8,33.4,12.7,6.4,19.5,53.8,18.9,7.8,62.7,3.6
2013,DE,19.6,32.1,17.3,6.6,27.8,64.6,12.4,11.1,61.3,3.6
2013,FL,16.8,34.1,19.5,7.2,27.7,62.8,17,11.2,61.5,4.1
2013,GA,18.8,38,19.1,4.7,27.2,65.7,19,10.8,59.9,3.4
2013,GU,26.5,NA,20.3,7,33,63.5,NA,14.1,49.3,3.4
2013,HI,13.3,35.6,13.8,7.6,22.1,55.4,10.8,8.4,56.4,2.7
2013,IA,19.5,32.7,14.4,6.5,28.5,67,12.7,9.3,67.1,2.9
2013,ID,17.2,39.1,14.2,6.2,23.7,64.9,15.6,8.4,66.7,3.7
2013,IL,18,35.3,16.9,6.5,25.1,64.7,14.7,9.9,63.6,3.7
2013,IN,21.9,37.9,18.1,5.2,31,67.3,15.9,11,61.5,4
2013,KS,20,36.9,15.4,4.6,26.5,65.3,14,9.6,68.3,3.1
2013,KY,26.5,42,23.3,4.9,30.2,67.3,18.8,10.6,56.9,4.5
2013,LA,23.5,41.7,22.7,6.3,32.2,67.4,19.8,11.6,60.9,4.2
2013,MA,16.6,34.1,13.8,7.5,23.5,58,11.9,8.5,62.9,3.8
2013,MD,16.4,32.9,15,5.2,25.3,64.1,10.1,9.8,59,3.3
2013,ME,20.2,35.3,14.9,7.2,23.3,64.8,14,9.6,65.6,3.8
2013,MI,21.4,36.5,17.7,6.2,24.4,66.2,17,10.4,59.9,3.9
2013,MN,18,31.8,12.4,7.3,23.5,61.1,11.2,7.4,65.5,2.9
2013,MO,22.1,37.1,18.4,6,28.3,65.5,15.9,9.6,65.2,3.8
2013,MS,24.8,45.1,24.4,4.2,38.1,69.3,24,12.9,61.9,4.3
2013,MT,19,35.6,15.4,7.7,22.5,61.4,16.5,7.7,67.1,3.3
2013,NC,20.3,38.2,19.2,4.9,26.6,66.1,17.9,11.4,62.7,3.6
2013,ND,21.2,33.8,14.7,7.2,27.6,67.6,11.8,8.9,67.7,2.7
2013,NE,18.5,35.4,13.9,6.8,25.3,65.5,13.2,9.2,65.9,3
2013,NH,16.2,34.6,12.6,6.5,22.4,61.8,8.7,9.2,65.7,3.5
2013,NJ,15.7,33.5,16.6,5,26.8,62.8,11.4,9.2,58.6,3.3
2013,NM,19.1,41.9,20.8,5.9,24.3,62.7,21.9,10.7,65.3,3.7
2013,NV,19.4,36.2,17.2,7,23.7,64.9,15.8,9.6,62.9,3.7
2013,NY,16.6,34.1,18.1,6,26.7,61.3,16,10.6,58.2,3.7
2013,OH,23.4,35.2,18.1,5.7,28.5,65.1,16,10.4,58.5,3.8
2013,OK,23.7,42.8,20.6,4.2,33,67.9,16.8,11,61.3,4.3
2013,OR,17.3,37.9,17.4,8.6,18.5,59.9,16.7,9.2,67.4,4.3
