state,year,unemployment_rate
AK,1976,7.516666666666667
AK,1977,9.866666666666667
AK,1978,10.616666666666667
AK,1979,9.275
AK,1980,9.65
AK,1981,9.383333333333333
AK,1982,9.958333333333334
AK,1983,9.933333333333334
AK,1984,9.85
AK,1985,9.691666666666666
AK,1986,10.933333333333334
AK,1987,10.266666666666666
AK,1988,8.783333333333333
AK,1989,7.008333333333334
AK,1990,7.233333333333333
AK,1991,8.458333333333334
AK,1992,8.916666666666666
AK,1993,7.708333333333333
AK,1994,7.566666666666666
AK,1995,7.316666666666666
AK,1996,7.583333333333333
AK,1997,7.141666666666667
AK,1998,6.358333333333333
AK,1999,6.466666666666667
AK,2e3,6.358333333333333
AK,2001,6.416666666666667
AK,2002,7.3
AK,2003,7.816666666666666
AK,2004,7.45
AK,2005,6.883333333333334
AK,2006,6.625
AK,2007,6.35
AK,2008,6.708333333333333
AK,2009,7.733333333333333
AK,2010,7.875
AK,2011,7.566666666666666
AK,2012,7.133333333333333
AK,2013,7
AK,2014,6.866666666666667
AK,2015,6.533333333333333
AK,2016,6.908333333333333
AK,2017,7.141666666666667
AK,2018,7
AL,1976,6.766666666666667
AL,1977,7.316666666666666
AL,1978,6.316666666666666
AL,1979,7.175
AL,1980,8.883333333333333
AL,1981,10.533333333333333
AL,1982,14.083333333333334
AL,1983,13.833333333333334
AL,1984,11
AL,1985,9.141666666666666
AL,1986,9.708333333333334
AL,1987,8.058333333333334
AL,1988,7.191666666666666
AL,1989,7.041666666666667
AL,1990,6.791666666666667
AL,1991,7.35
AL,1992,7.566666666666666
AL,1993,7.366666666666666
AL,1994,6.191666666666666
AL,1995,5.95
AL,1996,5.225
AL,1997,4.975
AL,1998,4.391666666666667
AL,1999,4.733333333333333
AL,2e3,4.575
AL,2001,5.1
AL,2002,5.9
AL,2003,6.025
AL,2004,5.7
AL,2005,4.5
AL,2006,4.066666666666666
AL,2007,3.9749999999999996
AL,2008,5.716666666666667
AL,2009,10.991666666666667
AL,2010,10.541666666666666
AL,2011,9.616666666666667
AL,2012,7.983333333333333
AL,2013,7.216666666666667
AL,2014,6.766666666666667
AL,2015,6.091666666666667
AL,2016,5.858333333333333
AL,2017,4.408333333333333
AL,2018,3.94
AR,1976,6.975
AR,1977,6.45
AR,1978,6.191666666666666
AR,1979,6.208333333333333
AR,1980,7.558333333333333
AR,1981,8.758333333333333
AR,1982,9.9
AR,1983,9.825
AR,1984,8.733333333333333
AR,1985,8.683333333333334
AR,1986,8.558333333333334
AR,1987,8.108333333333333
AR,1988,7.6
AR,1989,6.975
AR,1990,6.908333333333333
AR,1991,7.425
AR,1992,7.091666666666667
AR,1993,6.141666666666667
AR,1994,5.375
AR,1995,4.85
AR,1996,5.25
AR,1997,5.233333333333333
AR,1998,5.175
AR,1999,4.6
AR,2e3,4.275
AR,2001,4.95
AR,2002,5.475
AR,2003,5.933333333333334
AR,2004,5.7
AR,2005,5.225
AR,2006,5.175
AR,2007,5.3
AR,2008,5.5
AR,2009,7.825
AR,2010,8.191666666666666
AR,2011,8.291666666666666
AR,2012,7.575
AR,2013,7.216666666666667
AR,2014,6.025
AR,2015,5.025
AR,2016,3.9499999999999997
AR,2017,3.666666666666667
AR,2018,3.7
AZ,1976,9.683333333333334
AZ,1977,8.216666666666667
AZ,1978,6.033333333333333
AZ,1979,5.091666666666667
AZ,1980,6.65
AZ,1981,6.225
AZ,1982,10.091666666666667
AZ,1983,8.825
AZ,1984,5.175
AZ,1985,6.333333333333333
AZ,1986,6.925
AZ,1987,6.45
AZ,1988,6.366666666666667
AZ,1989,5.358333333333333
AZ,1990,5.258333333333334
AZ,1991,5.966666666666667
AZ,1992,7.541666666666667
AZ,1993,6.408333333333333
AZ,1994,6.15
AZ,1995,5.358333333333333
AZ,1996,5.566666666666666
AZ,1997,4.583333333333333
AZ,1998,4.325
AZ,1999,4.441666666666666
AZ,2e3,3.975
AZ,2001,4.775
AZ,2002,6.1
AZ,2003,5.766666666666667
AZ,2004,5.041666666666667
AZ,2005,4.666666666666666
AZ,2006,4.225
AZ,2007,3.825
AZ,2008,6.141666666666667
AZ,2009,9.925
AZ,2010,10.35
AZ,2011,9.5
AZ,2012,8.333333333333334
AZ,2013,7.741666666666667
AZ,2014,6.783333333333333
AZ,2015,6.041666666666667
AZ,2016,5.375
AZ,2017,4.858333333333333
AZ,2018,4.74
CA,1976,9.108333333333334
CA,1977,8.333333333333334
CA,1978,7.158333333333333
CA,1979,6.241666666666667
CA,1980,6.85
CA,1981,7.383333333333333
CA,1982,9.958333333333334
CA,1983,9.808333333333334
CA,1984,7.758333333333334
CA,1985,7.175
CA,1986,6.75
CA,1987,5.808333333333334
CA,1988,5.291666666666667
CA,1989,5.125
CA,1990,5.783333333333333
CA,1991,7.716666666666667
CA,1992,9.3
CA,1993,9.483333333333334
CA,1994,8.591666666666667
CA,1995,7.858333333333333
CA,1996,7.258333333333334
CA,1997,6.358333333333333
CA,1998,5.95
CA,1999,5.233333333333333
CA,2e3,4.958333333333333
CA,2001,5.433333333333334
CA,2002,6.6499999999999995
CA,2003,6.8
CA,2004,6.208333333333333
CA,2005,5.4
CA,2006,4.916666666666667
CA,2007,5.375
CA,2008,7.291666666666667
CA,2009,11.141666666666666
CA,2010,12.225
CA,2011,11.708333333333334
CA,2012,10.375
CA,2013,8.941666666666666
CA,2014,7.5
CA,2015,6.2
CA,2016,5.483333333333333
CA,2017,4.775
CA,2018,4.22
CO,1976,5.808333333333334
CO,1977,6.366666666666666
CO,1978,5.516666666666667
CO,1979,4.741666666666667
CO,1980,5.808333333333334
CO,1981,5.733333333333333
CO,1982,7.333333333333334
CO,1983,7.108333333333333
CO,1984,5.441666666666666
CO,1985,6.075
CO,1986,7.508333333333333
CO,1987,7.533333333333333
CO,1988,6.5
CO,1989,5.633333333333333
CO,1990,5.233333333333333
CO,1991,5.258333333333333
CO,1992,6
CO,1993,5.325
CO,1994,4.233333333333333
CO,1995,4.008333333333333
CO,1996,4.241666666666667
CO,1997,3.4499999999999997
CO,1998,3.6
CO,1999,3.075
CO,2e3,2.7583333333333333
CO,2001,3.8166666666666664
CO,2002,5.525
CO,2003,5.95
CO,2004,5.475
CO,2005,5.025
CO,2006,4.308333333333334
CO,2007,3.725
CO,2008,4.85
CO,2009,7.3
CO,2010,8.725
CO,2011,8.358333333333333
CO,2012,7.891666666666667
CO,2013,6.85
CO,2014,5
CO,2015,3.875
CO,2016,3.275
CO,2017,2.8083333333333336
CO,2018,2.94
CT,1976,9.275
CT,1977,6.991666666666667
CT,1978,5.225
CT,1979,5.15
CT,1980,5.808333333333334
CT,1981,6.166666666666666
CT,1982,6.866666666666666
CT,1983,6.008333333333334
CT,1984,4.666666666666667
CT,1985,4.716666666666667
CT,1986,3.841666666666667
CT,1987,3.35
CT,1988,2.966666666666667
CT,1989,3.75
CT,1990,5.125
CT,1991,6.533333333333333
CT,1992,7.541666666666666
CT,1993,6.625
CT,1994,5.616666666666666
CT,1995,5.491666666666666
CT,1996,5.5
CT,1997,5
CT,1998,3.4416666666666664
CT,1999,2.875
CT,2e3,2.408333333333333
CT,2001,3.1166666666666667
CT,2002,4.308333333333334
CT,2003,5.408333333333333
CT,2004,4.958333333333333
CT,2005,4.875
CT,2006,4.333333333333333
CT,2007,4.475
CT,2008,5.666666666666667
CT,2009,7.925
CT,2010,9.133333333333333
CT,2011,8.825
CT,2012,8.35
CT,2013,7.808333333333334
CT,2014,6.616666666666667
CT,2015,5.733333333333333
CT,2016,5.166666666666667
CT,2017,4.666666666666667
CT,2018,4.41
DC,1976,8.95
DC,1977,9.183333333333334
DC,1978,8.275
DC,1979,7.025
DC,1980,7.366666666666667
DC,1981,8.941666666666666
DC,1982,10.441666666666666
DC,1983,11.216666666666667
DC,1984,9.175
DC,1985,8.133333333333333
DC,1986,7.533333333333333
DC,1987,6.341666666666667
DC,1988,5.033333333333333
DC,1989,4.908333333333333
DC,1990,6.266666666666667
DC,1991,7.758333333333333
DC,1992,8.608333333333334
DC,1993,8.533333333333333
DC,1994,7.966666666666667
DC,1995,8.75
DC,1996,8.416666666666666
DC,1997,8.008333333333333
DC,1998,8.408333333333333
DC,1999,6.366666666666667
DC,2e3,5.6
DC,2001,6.358333333333333
DC,2002,6.4
DC,2003,6.833333333333334
DC,2004,7.783333333333333
DC,2005,6.383333333333333
DC,2006,5.791666666666667
DC,2007,5.533333333333333
DC,2008,6.441666666666666
DC,2009,9.275
DC,2010,9.408333333333333
DC,2011,10.158333333333333
DC,2012,9.041666666666666
DC,2013,8.491666666666667
DC,2014,7.766666666666667
DC,2015,6.875
DC,2016,6.108333333333333
DC,2017,6.066666666666666
DC,2018,5.64
DE,1976,8.816666666666666
DE,1977,8.458333333333334
DE,1978,7.408333333333333
DE,1979,7.2
DE,1980,7.608333333333333
DE,1981,7.85
DE,1982,8.366666666666667
DE,1983,7.741666666666666
DE,1984,6.308333333333334
DE,1985,5.141666666666667
DE,1986,4.333333333333333
DE,1987,3.1
DE,1988,3.1333333333333333
DE,1989,3.4916666666666667
DE,1990,4.708333333333333
DE,1991,6.208333333333333
DE,1992,5.416666666666666
DE,1993,5.058333333333334
DE,1994,4.783333333333333
DE,1995,4.325
DE,1996,5.091666666666667
DE,1997,4.008333333333333
DE,1998,3.708333333333333
DE,1999,3.408333333333333
DE,2e3,3.7583333333333333
DE,2001,3.4916666666666667
DE,2002,4.016666666666667
DE,2003,4.241666666666667
DE,2004,3.9916666666666667
DE,2005,4.141666666666667
DE,2006,3.591666666666667
DE,2007,3.4416666666666664
DE,2008,4.966666666666667
DE,2009,8.258333333333333
DE,2010,8.416666666666666
DE,2011,7.5
DE,2012,7.208333333333333
DE,2013,6.691666666666666
DE,2014,5.716666666666667
DE,2015,4.85
DE,2016,4.525
DE,2017,4.566666666666666
DE,2018,4.1
DS,1976,6.296666666666667
DS,1977,6.06625
DS,1978,5.762083333333333
DS,1979,5.668083333333334
DS,1980,8.081666666666667
DS,1981,8.685
DS,1982,10.994250000000001
DS,1983,11.216416666666667
DS,1984,8.781666666666666
DS,1985,8.44025
DS,1986,8.044083333333333
DS,1987,7.270833333333333
DS,1988,6.484583333333333
DS,1989,5.877583333333333
DS,1990,5.996583333333334
DS,1991,6.9191666666666665
DS,1992,7.013583333333333
DS,1993,6.4199166666666665
DS,1994,5.361666666666666
DS,1995,5.09425
DS,1996,5.064166666666667
DS,1997,4.718166666666667
DS,1998,4.26575
DS,1999,4.027666666666667
DS,2e3,4.029916666666667
DS,2001,4.929
DS,2002,5.802583333333334
DS,2003,6.050833333333333
DS,2004,5.799916666666666
DS,2005,5.73275
DS,2006,5.07725
DS,2007,5.0873333333333335
DS,2008,6.24975
DS,2009,NA
DS,2010,NA
DS,2011,NA
DS,2012,NA
DS,2013,NA
DS,2014,NA
DS,2015,NA
DS,2016,NA
DS,2017,NA
DS,2018,NA
FL,1976,9.108333333333334
FL,1977,8.175
FL,1978,6.708333333333333
FL,1979,5.95
FL,1980,6.091666666666667
FL,1981,6.65
FL,1982,8.441666666666666
FL,1983,8.516666666666667
FL,1984,6.383333333333334
FL,1985,5.975
FL,1986,5.8
FL,1987,5.308333333333334
FL,1988,5.125
FL,1989,5.566666666666666
FL,1990,6.125
FL,1991,7.541666666666667
FL,1992,8.233333333333334
FL,1993,7.125
FL,1994,6.425
FL,1995,5.516666666666667
FL,1996,5.166666666666667
FL,1997,4.791666666666667
FL,1998,4.316666666666666
FL,1999,3.875
FL,2e3,3.716666666666667
FL,2001,4.633333333333334
FL,2002,5.641666666666667
FL,2003,5.225
FL,2004,4.608333333333333
FL,2005,3.683333333333333
FL,2006,3.2416666666666667
FL,2007,4.008333333333334
FL,2008,6.3
FL,2009,10.391666666666667
FL,2010,11.033333333333333
FL,2011,9.991666666666667
FL,2012,8.483333333333333
FL,2013,7.233333333333333
FL,2014,6.266666666666667
FL,2015,5.441666666666666
FL,2016,4.825
FL,2017,4.15
FL,2018,3.75
GA,1976,8.158333333333333
GA,1977,6.908333333333333
GA,1978,5.733333333333333
GA,1979,5.125
GA,1980,6.35
GA,1981,6.366666666666666
GA,1982,7.766666666666667
GA,1983,7.75
GA,1984,6.116666666666666
GA,1985,6.408333333333333
GA,1986,5.975
GA,1987,5.675
GA,1988,5.7
GA,1989,5.5
GA,1990,5.466666666666667
GA,1991,5.208333333333333
GA,1992,6.891666666666667
GA,1993,6.05
GA,1994,5.208333333333333
GA,1995,4.825
GA,1996,4.683333333333334
GA,1997,4.583333333333333
GA,1998,4.283333333333333
GA,1999,3.9166666666666665
GA,2e3,3.5833333333333335
GA,2001,4.033333333333333
GA,2002,5
GA,2003,4.825
GA,2004,4.758333333333334
GA,2005,5.325
GA,2006,4.725
GA,2007,4.541666666666667
GA,2008,6.266666666666667
GA,2009,9.933333333333334
GA,2010,10.491666666666667
GA,2011,10.233333333333334
GA,2012,9.191666666666666
GA,2013,8.2
GA,2014,7.1
GA,2015,5.958333333333333
GA,2016,5.366666666666667
GA,2017,4.75
GA,2018,4.09
HI,1976,9.391666666666666
HI,1977,7.825
HI,1978,7.108333333333333
HI,1979,6.083333333333333
HI,1980,5.058333333333334
HI,1981,5.425
HI,1982,6.316666666666666
HI,1983,6.166666666666667
HI,1984,5.675
HI,1985,5.391666666666667
HI,1986,4.775
HI,1987,3.8166666666666664
HI,1988,3.1750000000000003
HI,1989,2.533333333333333
HI,1990,2.6833333333333336
HI,1991,2.875
HI,1992,4.333333333333333
HI,1993,4.508333333333334
HI,1994,5.508333333333333
HI,1995,5.875
HI,1996,6.258333333333333
HI,1997,6.233333333333333
HI,1998,6.091666666666667
HI,1999,5.4
HI,2e3,4.258333333333333
HI,2001,4.458333333333333
HI,2002,4.241666666666666
HI,2003,4.125
HI,2004,3.3916666666666666
HI,2005,2.8583333333333334
HI,2006,2.6416666666666666
HI,2007,2.775
HI,2008,4.325
HI,2009,7.125
HI,2010,6.95
HI,2011,6.8
HI,2012,6.008333333333333
HI,2013,4.883333333333333
HI,2014,4.35
HI,2015,3.5666666666666664
HI,2016,2.95
HI,2017,2.3583333333333334
HI,2018,2.11
IA,1976,3.9833333333333334
IA,1977,3.8833333333333333
IA,1978,3.85
IA,1979,4.216666666666667
IA,1980,6.041666666666667
IA,1981,6.575
IA,1982,8.508333333333333
IA,1983,8.125
IA,1984,6.983333333333333
IA,1985,7.45
IA,1986,6.75
IA,1987,5.483333333333333
IA,1988,4.5
IA,1989,4.191666666666666
IA,1990,4.416666666666667
IA,1991,4.658333333333333
IA,1992,4.466666666666667
IA,1993,4.058333333333334
IA,1994,3.5
IA,1995,3.4583333333333335
IA,1996,3.525
IA,1997,3.1083333333333334
IA,1998,2.7416666666666667
IA,1999,2.591666666666667
IA,2e3,2.625
IA,2001,3.325
IA,2002,4.008333333333333
IA,2003,4.491666666666666
IA,2004,4.491666666666667
IA,2005,4.25
IA,2006,3.7
IA,2007,3.7
IA,2008,4.233333333333333
IA,2009,6.391666666666667
IA,2010,6.008333333333334
IA,2011,5.525
IA,2012,5.033333333333333
IA,2013,4.733333333333333
IA,2014,4.241666666666667
IA,2015,3.775
IA,2016,3.6083333333333334
IA,2017,3.1333333333333333
IA,2018,2.68
ID,1976,5.575
ID,1977,5.766666666666667
ID,1978,5.458333333333333
ID,1979,5.808333333333334
ID,1980,7.525
ID,1981,7.775
ID,1982,9.908333333333333
ID,1983,8.941666666666666
ID,1984,7.325
ID,1985,7.866666666666667
ID,1986,8.433333333333334
ID,1987,7.608333333333333
ID,1988,6.041666666666667
ID,1989,5.283333333333333
ID,1990,5.541666666666667
ID,1991,6.191666666666666
ID,1992,6.358333333333333
ID,1993,5.975
ID,1994,5.408333333333333
ID,1995,5.416666666666667
ID,1996,5.3
ID,1997,5.141666666666667
ID,1998,5.108333333333333
ID,1999,4.9
ID,2e3,4.7
ID,2001,5.091666666666667
ID,2002,5.533333333333333
ID,2003,5.6
ID,2004,4.933333333333334
ID,2005,4.033333333333333
ID,2006,3.475
ID,2007,3.0416666666666665
ID,2008,5.141666666666667
ID,2009,8.733333333333333
ID,2010,8.966666666666667
ID,2011,8.316666666666666
ID,2012,7.2
ID,2013,6.116666666666667
ID,2014,4.866666666666667
ID,2015,4.225
ID,2016,3.7666666666666666
ID,2017,3.175
ID,2018,2.87
IL,1976,6.575
IL,1977,6.233333333333333
IL,1978,5.958333333333333
IL,1979,5.541666666666667
IL,1980,8.166666666666666
IL,1981,8.533333333333333
IL,1982,11.358333333333334
IL,1983,11.816666666666666
IL,1984,9.033333333333333
IL,1985,9.05
IL,1986,8.291666666666666
IL,1987,7.433333333333334
IL,1988,6.658333333333333
IL,1989,6.016666666666667
IL,1990,6.191666666666666
IL,1991,7.266666666666667
IL,1992,7.916666666666667
IL,1993,7.458333333333333
IL,1994,5.75
IL,1995,5.15
IL,1996,5.275
IL,1997,4.766666666666667
IL,1998,4.425
IL,1999,4.366666666666666
IL,2e3,4.333333333333333
IL,2001,5.325
IL,2002,6.533333333333333
IL,2003,6.758333333333333
IL,2004,6.191666666666666
IL,2005,5.683333333333334
IL,2006,4.566666666666666
IL,2007,4.958333333333333
IL,2008,6.308333333333334
IL,2009,10.2
IL,2010,10.366666666666667
IL,2011,9.691666666666666
IL,2012,8.991666666666667
IL,2013,9.041666666666666
IL,2014,7.1
IL,2015,5.966666666666667
IL,2016,5.816666666666666
IL,2017,4.9750000000000005
IL,2018,4.37
IN,1976,6.016666666666667
IN,1977,5.783333333333333
IN,1978,5.583333333333333
IN,1979,6.483333333333333
IN,1980,9.675
IN,1981,9.866666666666667
IN,1982,11.966666666666667
IN,1983,11.2
IN,1984,8.541666666666666
IN,1985,7.8
IN,1986,6.875
IN,1987,6.225
IN,1988,5.233333333333333
IN,1989,4.841666666666667
IN,1990,5.3
IN,1991,5.966666666666667
IN,1992,6.558333333333334
IN,1993,5.3999999999999995
IN,1994,4.85
IN,1995,4.608333333333333
IN,1996,4.058333333333334
IN,1997,3.4916666666666667
IN,1998,3.0833333333333335
IN,1999,3.0416666666666665
IN,2e3,3.1416666666666666
IN,2001,4.233333333333333
IN,2002,5.191666666666666
IN,2003,5.3
IN,2004,5.358333333333333
IN,2005,5.466666666666667
IN,2006,5.083333333333333
IN,2007,4.558333333333334
IN,2008,5.916666666666667
IN,2009,10.291666666666666
IN,2010,10.341666666666667
IN,2011,9.108333333333334
IN,2012,8.350000000000001
IN,2013,7.633333333333334
IN,2014,5.958333333333333
IN,2015,4.841666666666667
IN,2016,4.425
IN,2017,3.55
IN,2018,3.33
KS,1976,4.208333333333333
KS,1977,3.9166666666666665
KS,1978,3.1166666666666667
KS,1979,3.2333333333333334
KS,1980,4.433333333333334
KS,1981,4.308333333333334
KS,1982,6.266666666666667
KS,1983,5.858333333333333
KS,1984,4.925
KS,1985,5.075
KS,1986,5.35
KS,1987,4.825
KS,1988,4.525
KS,1989,4.175
KS,1990,4.316666666666666
KS,1991,4.408333333333333
KS,1992,4.491666666666666
KS,1993,4.966666666666667
KS,1994,4.891666666666667
KS,1995,4.416666666666667
KS,1996,4.241666666666666
KS,1997,3.7583333333333333
KS,1998,3.525
KS,1999,3.2666666666666666
KS,2e3,3.6083333333333334
KS,2001,4.208333333333333
KS,2002,5.058333333333334
KS,2003,5.508333333333333
KS,2004,5.45
KS,2005,5.008333333333334
KS,2006,4.391666666666667
KS,2007,4.241666666666667
KS,2008,4.625
KS,2009,6.866666666666667
KS,2010,7.058333333333334
KS,2011,6.491666666666667
KS,2012,5.733333333333333
KS,2013,5.308333333333334
KS,2014,4.533333333333333
KS,2015,4.15
KS,2016,4.033333333333333
KS,2017,3.625
KS,2018,3.38
KY,1976,5.383333333333333
KY,1977,4.866666666666667
KY,1978,5.108333333333333
KY,1979,5.541666666666667
KY,1980,7.941666666666666
KY,1981,8.591666666666667
KY,1982,10.816666666666666
KY,1983,11.416666666666666
KY,1984,9.291666666666666
KY,1985,9.2
KY,1986,9.383333333333333
KY,1987,8.466666666666667
KY,1988,7.6
KY,1989,6.358333333333333
KY,1990,5.983333333333333
KY,1991,7.291666666666667
KY,1992,6.858333333333333
KY,1993,6.258333333333333
KY,1994,5.375
KY,1995,5.408333333333333
KY,1996,5.45
KY,1997,5.341666666666667
KY,1998,4.6
KY,1999,4.5
KY,2e3,4.166666666666666
KY,2001,5.158333333333333
KY,2002,5.683333333333334
KY,2003,6.133333333333333
KY,2004,5.408333333333333
KY,2005,5.866666666666667
KY,2006,5.733333333333333
KY,2007,5.375
KY,2008,6.466666666666667
KY,2009,10.333333333333332
KY,2010,10.166666666666666
KY,2011,9.375
KY,2012,8.166666666666666
KY,2013,8.016666666666666
KY,2014,6.458333333333333
KY,2015,5.291666666666667
KY,2016,5.1499999999999995
KY,2017,4.925
KY,2018,4.24
LA,1976,6.716666666666667
LA,1977,7.066666666666666
LA,1978,6.791666666666667
LA,1979,6.6
LA,1980,6.85
LA,1981,8.383333333333333
LA,1982,10.275
LA,1983,11.516666666666666
LA,1984,10.066666666666666
LA,1985,11.55
LA,1986,12.733333333333333
LA,1987,12.116666666666667
LA,1988,10.85
LA,1989,7.941666666666666
LA,1990,6.191666666666666
LA,1991,7.291666666666667
LA,1992,8.025
LA,1993,7.641666666666667
LA,1994,7.841666666666667
LA,1995,6.983333333333333
LA,1996,6.6
LA,1997,6
LA,1998,5.691666666666666
LA,1999,5.075
LA,2e3,5.3
LA,2001,5.741666666666667
LA,2002,6.158333333333333
LA,2003,6.425
LA,2004,5.916666666666667
LA,2005,7.125
LA,2006,4.425
LA,2007,4.241666666666666
LA,2008,4.925
LA,2009,6.825
LA,2010,7.95
LA,2011,7.833333333333333
LA,2012,7.091666666666667
LA,2013,6.675
LA,2014,6.383333333333334
LA,2015,6.333333333333333
LA,2016,6.058333333333334
LA,2017,5.15
LA,2018,4.72
MA,1976,9.566666666666666
MA,1977,7.775
MA,1978,6.216666666666667
MA,1979,5.491666666666666
MA,1980,5.65
MA,1981,6.466666666666667
MA,1982,7.708333333333333
MA,1983,6.766666666666667
MA,1984,4.775
MA,1985,3.966666666666667
MA,1986,3.908333333333333
MA,1987,3.2416666666666667
MA,1988,3.2583333333333333
MA,1989,4.141666666666667
MA,1990,6.3
MA,1991,8.616666666666667
MA,1992,8.458333333333334
MA,1993,6.991666666666666
MA,1994,6.025
MA,1995,5.283333333333333
MA,1996,4.441666666666666
MA,1997,3.9166666666666665
MA,1998,3.2916666666666665
MA,1999,3.1750000000000003
MA,2e3,2.7083333333333335
MA,2001,3.725
MA,2002,5.258333333333334
MA,2003,5.716666666666667
MA,2004,5.141666666666667
MA,2005,4.85
MA,2006,4.891666666666667
MA,2007,4.6
MA,2008,5.55
MA,2009,8.1
MA,2010,8.291666666666666
MA,2011,7.241666666666667
MA,2012,6.658333333333333
MA,2013,6.716666666666667
MA,2014,5.741666666666667
MA,2015,4.791666666666667
MA,2016,3.8916666666666666
MA,2017,3.716666666666667
MA,2018,3.5300000000000002
MD,1976,6.65
MD,1977,6.25
MD,1978,5.525
MD,1979,5.775
MD,1980,6.575
MD,1981,7.258333333333333
MD,1982,8.283333333333333
MD,1983,6.991666666666667
MD,1984,5.358333333333333
MD,1985,4.6
MD,1986,4.55
MD,1987,4.366666666666666
MD,1988,4.241666666666666
MD,1989,3.8166666666666664
MD,1990,4.458333333333333
MD,1991,6.108333333333333
MD,1992,6.775
MD,1993,6.183333333333334
MD,1994,5.258333333333333
MD,1995,5.041666666666667
MD,1996,5.033333333333333
MD,1997,4.95
MD,1998,4.391666666666667
MD,1999,3.558333333333333
MD,2e3,3.5833333333333335
MD,2001,4.008333333333333
MD,2002,4.433333333333334
MD,2003,4.425
MD,2004,4.241666666666667
MD,2005,4.125
MD,2006,3.8666666666666667
MD,2007,3.45
MD,2008,4.25
