DATE,DSUR
1976-01-01,6.308
1976-02-01,6.180
1976-03-01,6.187
1976-04-01,6.129
1976-05-01,6.134
1976-06-01,6.323
1976-07-01,6.359
1976-08-01,6.383
1976-09-01,6.424
1976-10-01,6.421
1976-11-01,6.381
1976-12-01,6.331
1977-01-01,6.065
1977-02-01,6.199
1977-03-01,5.984
1977-04-01,5.846
1977-05-01,5.901
1977-06-01,6.102
1977-07-01,6.083
1977-08-01,6.175
1977-09-01,6.147
1977-10-01,6.127
1977-11-01,6.097
1977-12-01,6.069
1978-01-01,6.083
1978-02-01,6.089
1978-03-01,5.996
1978-04-01,5.807
1978-05-01,5.771
1978-06-01,5.695
1978-07-01,5.787
1978-08-01,5.764
1978-09-01,5.663
1978-10-01,5.584
1978-11-01,5.459
1978-12-01,5.447
1979-01-01,5.340
1979-02-01,5.371
1979-03-01,5.361
1979-04-01,5.442
1979-05-01,5.313
1979-06-01,5.367
1979-07-01,5.486
1979-08-01,5.684
1979-09-01,5.893
1979-10-01,6.049
1979-11-01,6.218
1979-12-01,6.493
1980-01-01,6.717
1980-02-01,7.041
1980-03-01,7.265
1980-04-01,7.524
1980-05-01,8.108
1980-06-01,8.604
1980-07-01,8.776
1980-08-01,8.675
1980-09-01,8.626
1980-10-01,8.609
1980-11-01,8.510
1980-12-01,8.525
1981-01-01,8.516
1981-02-01,8.485
1981-03-01,8.520
1981-04-01,8.429
1981-05-01,8.486
1981-06-01,8.415
1981-07-01,8.386
1981-08-01,8.594
1981-09-01,8.708
1981-10-01,8.907
1981-11-01,9.241
1981-12-01,9.533
1982-01-01,9.939
1982-02-01,10.029
1982-03-01,10.303
1982-04-01,10.583
1982-05-01,10.661
1982-06-01,10.881
1982-07-01,11.080
1982-08-01,11.202
1982-09-01,11.476
1982-10-01,11.713
1982-11-01,11.995
1982-12-01,12.069
1983-01-01,12.113
1983-02-01,12.144
1983-03-01,12.024
1983-04-01,11.928
1983-05-01,11.697
1983-06-01,11.478
1983-07-01,11.211
1983-08-01,10.938
1983-09-01,10.614
1983-10-01,10.420
1983-11-01,10.150
1983-12-01,9.880
1984-01-01,9.702
1984-02-01,9.342
1984-03-01,9.234
1984-04-01,9.109
1984-05-01,8.847
1984-06-01,8.557
1984-07-01,8.442
1984-08-01,8.411
1984-09-01,8.451
1984-10-01,8.408
1984-11-01,8.434
1984-12-01,8.443
1985-01-01,8.452
1985-02-01,8.548
1985-03-01,8.411
1985-04-01,8.506
1985-05-01,8.479
1985-06-01,8.453
1985-07-01,8.388
1985-08-01,8.400
1985-09-01,8.466
1985-10-01,8.432
1985-11-01,8.422
1985-12-01,8.326
1986-01-01,8.228
1986-02-01,8.298
1986-03-01,8.261
1986-04-01,8.166
1986-05-01,8.172
1986-06-01,8.083
1986-07-01,7.969
1986-08-01,7.958
1986-09-01,7.959
1986-10-01,7.904
1986-11-01,7.817
1986-12-01,7.714
1987-01-01,7.704
1987-02-01,7.609
1987-03-01,7.594
1987-04-01,7.582
